"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
15,baby Rattle,baby stuff /toy,LYM,LYM,18,1.28,0.46,18,1.22,0.55,19,1.16,0.37,55,1.22,0.46,18,2.22,1,19,1.42,0.96,20,1.35,0.49,57,1.65,0.92,19,4.84,0.5,20,4.9,0.31,18,5,0,57,4.91,0.34,19,2.95,1.31,20,1.8,0.83,18,1.72,0.96,57,2.16,1.18
16,backpack,school supply,HYM,HYM,18,4.83,0.38,18,4.22,1.35,19,4.89,0.32,55,4.65,0.87,18,2.44,0.7,19,2.58,0.61,20,2.6,0.88,57,2.54,0.73,19,4.47,0.61,20,4.35,0.99,18,4.5,0.71,57,4.44,0.78,19,3,1,19,3.16,1.3,18,2.94,1.26,56,3.04,1.17
17,Balloon,toy,LYM,LYM,18,2.33,0.97,18,1.94,1,19,1.89,0.88,55,2.05,0.95,18,1.83,0.86,19,1.74,0.65,20,1.6,0.68,57,1.72,0.73,19,4.63,0.6,20,4.4,1.05,18,4.67,0.49,57,4.56,0.76,19,1.68,1.11,17,1.94,1.48,18,1.67,0.91,54,1.76,1.16
18,Banana,fruit & vegetable,HYM,HYM,18,4.28,0.89,18,3.89,0.76,19,4.53,0.84,55,4.24,0.86,18,1.67,0.69,19,1.74,0.56,20,1.9,1.02,57,1.77,0.78,19,5,0,20,4.95,0.22,18,4.94,0.24,57,4.96,0.19,19,2.68,1.16,20,2.15,1.35,18,2.17,1.1,57,2.33,1.21
19,Bank,building,HON,HON,18,3.44,1.2,18,3.61,0.85,19,3.53,1.17,55,3.53,1.07,18,3.5,1.72,19,4,1.29,20,4.35,1.57,57,3.96,1.55,19,1,0,20,1,0,18,1,0,57,1,0,0,,,0,,,0,,,0,,
20,Bank Machine,miscellaneous,HON,HON,13,3.69,1.25,18,3.67,1.03,19,3.63,1.01,50,3.66,1.06,18,4.83,1.47,19,5.05,1.27,14,5.86,1.23,51,5.2,1.37,19,1.47,1.26,14,1.14,0.53,18,1.22,0.94,51,1.29,0.99,2,,,2,,,2,,,6,,
21,Barn,building,LYN,HON,18,2.61,0.92,18,1.83,1.04,19,1.74,1.05,55,2.05,1.06,18,2.33,0.69,19,2.58,1.12,20,2.45,1.05,57,2.46,0.96,19,1,0,20,1.15,0.49,18,1,0,57,1.05,0.29,0,,,2,,,1,,,3,,
22,Barrel,miscellaneous,LON,LON,18,1.44,0.7,18,1.39,0.92,19,1.32,0.58,55,1.38,0.73,18,3.67,1.03,19,3.63,1.26,20,3.55,1.32,57,3.61,1.19,19,1.74,0.87,20,2,1.12,18,2.06,1.06,57,1.93,1.02,4,,,6,,,7,,,17,,
23,Basket,miscellaneous,LYM,LOM,18,2.44,1.46,18,1.94,0.94,19,2.21,1.18,55,2.2,1.21,18,2.44,0.86,19,2.21,0.85,20,2.25,0.64,57,2.3,0.78,19,4.58,0.69,20,4.7,0.57,18,4.67,0.49,57,4.65,0.58,19,2.11,1.45,19,1.68,1.16,18,2.11,1.13,56,1.96,1.25
24,bathtub,household item,HYN,HYN,18,4.44,0.98,18,3.61,1.5,19,4.21,1.03,55,4.09,1.22,18,1.89,1.02,19,2,1.05,20,1.8,0.95,57,1.89,0.99,19,1.26,0.73,19,1.32,0.95,18,1.22,0.43,56,1.27,0.73,1,,,0,,,1,,,2,,
25,Bear,animal/insect,LYN,LYN,18,1.5,0.86,18,1.5,0.71,19,1.21,0.54,55,1.4,0.71,18,2,1.03,19,2.16,0.69,20,3.1,1.55,57,2.44,1.24,19,1,0,20,1,0,18,1,0,57,1,0,0,,,0,,,0,,,0,,
26,Bee,animal/insect,LYN,LYN,18,2.28,1.07,18,1.67,0.77,19,1.74,0.87,55,1.89,0.94,18,1.83,0.62,19,2.16,0.5,20,2.1,0.79,57,2.04,0.65,19,2.63,1.64,20,3.15,1.93,18,3.78,1.26,57,3.18,1.68,8,,,11,2.09,1.7,15,2.6,1.4,34,2.15,1.42
27,Beetle,animal/insect,LON,LON,18,1.56,0.78,18,1.17,0.51,19,1.42,1.02,55,1.38,0.8,18,2.67,1.28,19,3,0.88,19,2.84,1.38,56,2.84,1.19,19,2.95,1.61,20,3.65,1.69,18,4.11,1.32,57,3.56,1.6,11,,,15,2.07,1.33,16,2.38,1.54,42,2.19,1.37
28,bell,miscellaneous,LON,LYN,18,2.72,1.45,18,1.94,1.16,19,1.58,0.61,55,2.07,1.2,18,3.44,1.54,19,3.16,1.3,20,3.3,1.22,57,3.3,1.34,19,1.11,0.32,20,1.15,0.49,18,1.11,0.32,57,1.12,0.38,1,,,2,,,0,,,3,,
29,Belt,clothing,HOM,HOM,18,4.22,1.11,18,3.5,1.29,19,4.16,1.26,55,3.96,1.25,18,2.83,1.1,19,2.79,0.63,20,2.95,1.1,57,2.86,0.95,19,4.95,0.23,20,4.75,0.72,18,4.67,0.49,57,4.79,0.53,19,3.53,0.7,19,3.47,1.47,18,3.44,0.98,56,3.48,1.08
30,Bicycle,vehicle,HYN,HON,18,3.28,1.13,18,2.94,1.26,19,2.74,1.33,55,2.98,1.24,18,2,0.77,19,2.37,0.9,20,2.6,0.82,57,2.33,0.85,18,2.83,1.2,20,2.6,1.35,18,2.72,0.89,56,2.71,1.16,10,,,12,,,12,,,34,,
