"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
57,cash Register,office supply,HON,HON,18,3.06,1.47,18,3.17,1.25,19,3.32,1,55,3.18,1.23,18,3.33,1.24,19,3.95,1.08,20,3.9,1.07,57,3.74,1.14,19,2.21,1.23,20,2.8,1.54,18,2.17,0.86,57,2.4,1.27,7,,,11,,,9,,,27,,
58,cassette,household item,LOM,LYM,18,1.94,1.16,18,1.5,0.92,19,1.42,0.69,55,1.62,0.95,18,2.94,1.43,19,3.16,1.21,20,3.45,1.19,57,3.19,1.27,19,4.63,0.96,20,4.9,0.31,18,4.78,0.94,57,4.77,0.78,18,2.89,1.45,20,3.25,1.29,17,2.65,1.17,55,2.95,1.31
59,Castle,building,LON,LON,18,1.89,1.32,18,1.22,0.43,19,1.05,0.23,55,1.38,0.87,18,2.78,0.88,19,2.42,1.22,20,3.25,1.21,57,2.82,1.15,19,1,0,20,1,0,18,1,0,57,1,0,0,,,0,,,0,,,0,,
60,Cat,animal/insect,HYN,HYN,18,3.61,1.46,18,3.39,1.46,19,2.95,1.39,55,3.31,1.44,18,2,1.28,19,1.53,0.61,20,1.5,0.61,57,1.67,0.89,19,3.16,1.17,20,3.05,1.32,18,3.83,1.1,57,3.33,1.23,13,2.77,1.01,14,2.71,1.54,16,3.25,1.18,43,2.93,1.26
61,CD-ROM,household item,HOM,HOM,18,4.56,0.86,18,3.83,1.25,19,3.89,0.66,55,4.09,0.99,18,3.94,1.26,19,4.74,0.93,20,4.8,1.01,57,4.51,1.12,19,4.74,0.56,20,4.7,0.66,18,4.78,0.43,57,4.74,0.55,19,2.26,1.33,20,2.8,1.44,18,2.17,1.29,57,2.42,1.36
62,Celery,fruit & vegetable,HOM,HOM,18,3.61,1.42,18,2.94,1.35,19,3.84,1.01,55,3.47,1.3,18,2.72,0.89,19,2.53,0.7,20,3.55,1.28,57,2.95,1.08,19,4.58,0.77,20,4.5,1.15,18,4.83,0.38,57,4.63,0.84,19,2.53,1.26,19,1.84,0.9,18,2.06,1,56,2.14,1.09
63,cell Phone,household item,HOM,HOM,18,5,0,18,4.78,0.55,19,4.95,0.23,55,4.91,0.35,18,4.28,1.53,19,5.37,1.12,20,4.75,1.62,57,4.81,1.48,19,4.84,0.5,20,4.9,0.31,18,5,0,57,4.91,0.34,19,4.21,1.36,20,3.95,1.5,18,3.39,1.79,57,3.86,1.56
64,Chain,miscellaneous,LOM,LON,18,2.17,1.29,18,1.94,0.94,19,1.53,1.02,55,1.87,1.11,18,2.94,1.11,19,3.26,1.05,20,3.45,1.05,57,3.23,1.07,19,4.47,0.84,20,4.7,0.57,18,4.5,0.79,57,4.56,0.73,19,2.79,1.18,20,2.05,0.94,18,2.72,0.96,57,2.51,1.07
65,Chair,household item,HYN,HYN,18,4.83,0.38,18,4.83,0.51,19,4.95,0.23,55,4.87,0.39,18,1.78,0.81,19,1.95,0.91,20,1.9,0.97,57,1.88,0.89,19,3.16,0.96,20,2.95,1.32,18,2.78,1.17,57,2.96,1.15,13,2.92,0.95,12,,,12,,,37,,
66,chalkboard,school supply,HON,HON,18,4.11,1.13,18,3.67,1.28,19,3.58,1.5,55,3.78,1.32,18,2.78,0.73,19,2.89,0.66,20,2.85,0.59,57,2.84,0.65,19,1.84,0.83,20,2.1,1.21,18,1.78,0.88,57,1.91,0.99,2,,,7,,,4,,,13,,
67,Cherry,fruit & vegetable,LOM,LOM,18,2.61,1.24,18,2.72,1.07,19,2.74,1.28,55,2.69,1.18,18,2.67,0.97,19,2.21,0.63,20,2.15,0.88,57,2.33,0.85,19,4.74,0.73,20,4.75,0.72,18,5,0,57,4.82,0.6,18,1.61,1.29,19,1.21,0.42,17,1.35,0.79,54,1.39,0.9
68,chest,household item,LON,HYN,18,1.78,1.17,18,1.5,0.71,19,1.68,0.82,55,1.65,0.91,18,2.78,1.06,19,3,0.82,20,3.25,1.29,57,3.02,1.08,19,2.58,1.07,20,2.5,1.36,18,2.22,1.06,57,2.44,1.17,11,,,11,,,7,,,29,,
69,Chickadee,animal/insect,LYN,HYN,18,2.72,1.23,18,2.67,1.03,19,2.79,1.13,55,2.73,1.11,18,2.33,1.14,19,2.37,0.96,20,2.6,1.05,57,2.44,1.04,19,2.47,1.43,20,3.05,1.5,18,3.83,1.1,57,3.11,1.45,9,,,11,2.27,1.62,16,2.69,1.4,36,2.36,1.44
70,Chicken,animal/insect,LYN,HYN,18,1.67,0.91,18,1.78,1.06,19,1.74,1.15,55,1.73,1.03,18,1.89,0.96,19,2.26,0.81,20,2.45,0.83,57,2.21,0.88,19,2.26,1.1,20,2.35,1.27,18,2.83,1.1,57,2.47,1.17,7,,,9,,,9,,,25,,
71,Chisel,tools,LOM,LOM,18,1.78,0.94,18,1.17,0.38,19,1.32,0.67,55,1.42,0.74,18,4.33,1.64,19,4.74,1.28,20,4.9,1.55,57,4.67,1.49,19,4.89,0.32,20,4.95,0.22,18,4.83,0.38,57,4.89,0.31,19,2.79,1.23,20,2.55,1.47,18,2.39,1.24,57,2.58,1.31
72,Christmas Tree,holiday,LYN,LYN,18,2.44,1.15,18,1.78,1,19,1.53,0.7,55,1.91,1.02,17,2.06,0.9,19,1.84,0.69,20,2.15,1.35,56,2.02,1.02,19,1.37,0.68,20,1.65,0.93,18,1.94,1.16,57,1.65,0.95,1,,,4,,,5,,,10,,
73,Church,building,HYN,HYN,18,2.94,1.55,18,2.33,1.33,19,2,1.11,55,2.42,1.37,18,2.39,0.78,19,2.63,1.12,20,3.1,1.8,57,2.72,1.33,19,1,0,20,1.05,0.22,18,1,0,57,1.02,0.13,0,,,0,,,0,,,0,,
74,Cigar,recreation,LOM,LOM,18,2,1.5,17,1.76,0.97,19,1.68,1,54,1.81,1.17,18,3.83,1.58,19,4.63,1.16,20,4.05,1.28,57,4.18,1.36,19,4.79,0.54,20,4.75,0.55,18,4.78,0.55,57,4.77,0.54,19,2.21,1.18,20,2.15,1.27,18,1.78,0.81,57,2.05,1.11
75,cigarette,recreation,HOM,HOM,18,2.78,1.66,18,2.39,1.38,18,2.22,1.22,54,2.46,1.42,18,3.61,1.42,19,3.89,1.15,20,4.05,1.23,57,3.86,1.26,19,4.89,0.32,20,4.9,0.31,18,4.94,0.24,57,4.91,0.29,19,2.26,1.1,20,2.1,1.37,18,1.67,0.84,57,2.02,1.14
76,Clock(alarm),household item,HYM,HYM,18,4.72,0.57,18,4.61,0.61,19,4.79,0.54,55,4.71,0.57,18,2.39,0.98,19,3,1.15,20,2.4,1.05,57,2.6,1.08,19,4.53,0.7,20,4.55,0.89,18,4.56,0.78,57,4.54,0.78,19,2.63,1.3,19,3.37,1.12,17,3.06,1.3,55,3.02,1.25
77,closet,household item,HYN,HYN,18,4.67,0.59,17,4.71,0.59,19,4.74,0.56,54,4.7,0.57,17,2.53,1.07,19,2.58,0.84,20,2.65,1.04,56,2.59,0.97,19,1.32,1,20,1.35,0.81,18,1.06,0.24,57,1.25,0.76,2,,,3,,,0,,,5,,
78,Clothespin,household item,LOM,LYM,18,1.89,1.41,18,1.5,0.71,19,1.79,1.23,55,1.73,1.15,18,3.06,1.26,19,3.16,1.01,20,3.35,1.39,57,3.19,1.22,19,4.95,0.23,20,4.9,0.31,18,4.94,0.24,57,4.93,0.26,19,2.84,1.3,20,2.45,1.23,18,2.44,1.04,57,2.58,1.19
79,Clouds,nature,HYN,HYN,18,4.94,0.24,18,4.67,0.77,19,4.84,0.37,55,4.82,0.51,18,2.06,0.8,19,1.79,0.63,20,1.8,0.77,57,1.88,0.73,19,1,0,20,1,0,16,1.25,1,55,1.07,0.54,0,,,3,,,1,,,4,,
80,Clown,holiday,LYN,LYN,18,1.39,0.7,18,1.33,0.97,19,1.05,0.23,55,1.25,0.7,18,2.17,0.99,19,2,0.75,20,2,0.92,57,2.05,0.87,19,1.21,0.42,20,1.65,1.27,18,1.39,0.5,57,1.42,0.84,0,,,4,,,1,,,5,,
81,CoffeePot,household item,HOM,HOM,18,3.33,1.53,18,2.89,1.53,19,3.05,1.22,55,3.09,1.42,18,3.56,1.1,19,3.68,1.16,20,3.8,1.4,57,3.68,1.21,19,4.79,0.54,20,4.55,1,18,4.72,0.46,57,4.68,0.71,19,1.84,1.01,19,2.26,1.37,18,2.17,0.99,56,2.09,1.13
82,Comb,household item,HOM,HOM,18,3.44,1.62,18,3.78,1.44,19,3.58,1.54,55,3.6,1.51,18,2.78,1.44,19,2.11,0.74,20,2.45,1.1,57,2.44,1.13,19,4.95,0.23,19,4.84,0.37,18,4.94,0.24,56,4.91,0.29,19,2.74,1.15,19,2.37,1.21,18,1.94,0.94,56,2.36,1.14
83,compass,tools,LOM,LOM,18,1.72,1.07,18,1.44,0.98,19,1.53,1.07,55,1.56,1.03,18,4.06,1.26,19,3.84,0.9,20,4.35,1.35,57,4.09,1.18,19,4.79,0.42,20,4.95,0.22,18,4.83,0.38,57,4.86,0.35,19,1.84,1.12,20,2.45,1.73,18,1.78,1.22,57,2.04,1.4
84,Computer,household/office item,HON,HYN,18,4.83,0.71,18,5,0,19,5,0,55,4.95,0.4,18,3.28,1.18,19,3.74,1.05,20,4.1,1.55,57,3.72,1.31,19,2.53,1.17,20,2.25,1.29,18,2.78,1.35,57,2.51,1.27,9,,,7,,,11,,,27,,
85,couch,household item,HYN,HYN,18,4.33,0.84,18,3.89,1.13,19,4.53,0.84,55,4.25,0.97,18,2.39,1.04,19,2.26,1.05,20,2.1,0.97,57,2.25,1.01,19,1.37,0.68,20,1.65,1.09,18,1.44,0.62,57,1.49,0.83,1,,,5,,,3,,,9,,
86,Cow,animal/insect,LYN,LYN,18,2.22,0.81,18,1.72,0.89,19,1.32,0.75,55,1.75,0.89,18,1.72,0.67,19,1.89,0.81,20,1.95,0.76,57,1.86,0.74,19,1,0,20,1.1,0.45,18,1,0,57,1.04,0.26,0,,,1,,,0,,,1,,
87,Crab,animal/insect,LYN,LON,18,1.72,0.75,18,1.17,0.38,19,1.47,0.7,55,1.45,0.66,18,2.39,0.78,19,2.58,0.69,20,3.5,1.36,57,2.84,1.1,19,2.74,1.48,19,3,1.56,18,3.33,1.24,56,3.02,1.43,12,,,12,2.58,1.51,13,2.38,1.19,37,2.35,1.38
88,Crocodile,animal/insect,LYN,LYN,18,1.33,0.69,18,1.11,0.32,19,1,0,55,1.15,0.45,18,2.44,0.98,18,2.89,0.83,20,2.9,1.07,56,2.75,0.98,19,1.21,0.71,20,1,0,18,1.17,0.51,57,1.12,0.5,1,,,0,,,1,,,2,,
89,Crown,miscellaneous,LOM,LYM,18,1.17,0.38,18,1.28,0.57,19,1.47,0.7,55,1.31,0.57,18,2.67,1.19,19,2.53,0.96,20,3.15,1.23,57,2.79,1.15,19,4.47,0.84,20,4.35,0.99,18,4.22,1.06,57,4.35,0.95,18,2.06,1.06,19,2.58,1.3,17,2,1.12,54,2.22,1.18
90,Cup,household item,HYM,HYM,18,4.06,1.47,18,3.94,1.06,19,4.53,0.77,55,4.18,1.14,18,2.56,1.04,19,2.58,0.84,20,2.65,1.35,57,2.6,1.08,19,4.79,0.42,20,4.6,0.68,18,4.83,0.38,57,4.74,0.52,19,2.05,1.27,20,2.25,1.45,18,1.5,0.62,57,1.95,1.2
91,Deer,animal/insect,LYN,LON,18,1.89,1.08,18,1.78,0.81,19,1.79,0.98,55,1.82,0.94,18,2.56,1.04,19,2.74,0.87,20,3.2,1.2,57,2.84,1.07,19,1.11,0.32,20,1.35,0.93,17,1.24,0.56,56,1.23,0.66,1,,,1,,,0,,,2,,
92,Desk,household/office item,HON,HON,18,4.44,1.04,18,4.44,1.04,19,4.63,0.83,55,4.51,0.96,18,2.78,0.94,19,2.74,0.87,20,2.75,1.07,57,2.75,0.95,19,1.63,0.76,20,1.75,1.07,18,1.61,0.7,57,1.67,0.85,3,,,5,,,3,,,11,,
93,diaper,baby stuff,LYM,LYM,18,1.44,0.7,18,1.28,0.75,19,1.16,0.37,55,1.29,0.63,18,1.56,0.62,19,1.74,0.73,20,1.95,1.57,57,1.75,1.07,19,4.32,0.58,20,4.55,1.05,18,4.78,0.43,57,4.54,0.76,19,3.68,1.16,19,3.89,1.2,18,3.44,1.15,56,3.68,1.16
94,Dice,recreation,LOM,LOM,18,2.44,1.15,18,1.94,0.94,19,2.37,1.3,55,2.25,1.14,18,2.67,0.77,19,3.05,0.97,20,3,1.41,57,2.91,1.09,19,4.95,0.23,20,4.9,0.31,18,4.94,0.24,57,4.93,0.26,19,3.11,1.37,20,2.85,1.27,18,2.67,1.33,57,2.88,1.31
95,dinoasur,toy,LYN,LYN,18,1.17,0.38,18,1.28,0.96,19,1,0,55,1.15,0.59,18,2.33,0.84,19,2.26,0.81,20,2.35,1.04,57,2.32,0.89,19,2.21,1.65,20,2.35,1.9,18,2.17,1.72,57,2.25,1.73,5,,,7,,,6,,,18,,
96,dish Washer,household item,HON,HON,18,3.78,1.4,18,2.78,1.35,19,3.58,1.43,55,3.38,1.43,18,2.89,1.23,19,3.32,0.89,20,3.35,1.27,57,3.19,1.14,19,1.53,1.12,20,1.7,1.08,18,1.33,0.97,57,1.53,1.05,2,,,5,,,1,,,8,,
97,Dog,animal/insect,HYN,HYN,18,3.94,1.16,18,3.33,1.61,19,3.37,1.34,55,3.55,1.39,18,1.5,0.71,18,1.5,0.62,20,1.55,0.76,56,1.52,0.69,19,1.53,0.77,20,2.05,1.1,18,2.22,1,57,1.93,1,3,,,8,,,7,,,18,,
98,Doll,toy,LYM,LYM,18,1.56,0.98,18,1.17,0.51,19,1.26,0.45,55,1.33,0.7,18,1.78,1.06,19,1.53,0.7,20,1.6,0.88,57,1.63,0.88,19,4.42,0.61,20,4.6,0.6,18,4.67,0.59,57,4.56,0.6,19,2.84,1.17,20,3.2,1.28,18,2.67,0.91,57,2.91,1.14
99,Donkey,animal/insect,LYN,LYN,18,1.33,0.59,18,1.28,0.46,19,1.05,0.23,55,1.22,0.46,18,2.33,0.77,19,2.84,0.9,20,2.65,1.14,57,2.61,0.96,19,1.16,0.5,20,1.15,0.37,18,1.17,0.38,57,1.16,0.41,1,,,2,,,1,,,4,,
100,Door,household item,HYN,HYN,18,4.83,0.38,18,4.67,0.84,19,4.95,0.23,55,4.82,0.55,18,2.06,1.06,19,2.11,1.05,20,1.65,0.75,57,1.93,0.96,19,1.53,0.9,20,1.8,1.47,18,1.56,0.78,57,1.63,1.1,3,,,5,,,5,,,13,,
101,Dragonfly,animal/insect,LON,LON,18,2.11,1.28,18,1.39,0.5,19,1.58,0.69,55,1.69,0.92,18,3.17,0.92,19,3,0.88,20,2.8,0.77,57,2.98,0.86,19,2.89,1.41,20,3.25,1.62,18,3.67,1.41,57,3.26,1.49,10,,,12,1.92,1.31,14,2.57,1.7,36,2.36,1.53
102,Dress,clothing,HYM,HYM,18,3.89,1.53,18,3.5,1.15,19,3.74,0.99,55,3.71,1.23,18,2.22,1.11,19,2.26,0.99,20,2.25,0.85,57,2.25,0.97,19,4.26,0.65,20,4.65,0.81,18,4.78,0.55,57,4.56,0.71,19,3.32,1.16,19,2.89,1.52,18,3.5,1.25,56,3.23,1.32
103,Dresser,household item,HYN,HON,18,4.72,0.75,18,3.83,1.1,19,4.37,1.07,55,4.31,1.03,18,2.56,0.86,19,2.74,1.1,20,2.65,1.04,57,2.65,0.99,19,1.53,0.77,20,1.65,1.18,18,1.5,0.79,57,1.56,0.93,3,,,4,,,5,,,12,,
104,drill,tools,LOM,LOM,18,2.28,1.23,18,1.39,0.61,19,1.37,0.83,55,1.67,1,18,3.72,1.13,19,4.05,1.13,20,4.3,1.49,57,4.04,1.27,19,4.79,0.42,20,4.65,0.59,18,4.67,0.59,57,4.7,0.53,19,2.95,1.22,20,2.35,1.39,18,2.83,1.25,57,2.7,1.3
105,Drum(set),instrument,LON,LYM,18,2.72,1.13,18,2.22,1.44,19,1.84,1.12,55,2.25,1.27,18,2.83,0.92,19,3.47,1.17,20,3.25,1.25,57,3.19,1.14,19,1.68,1.29,19,1.68,1.49,18,1.61,0.98,56,1.66,1.25,3,,,4,,,2,,,9,,
106,dryer,household item,HON,HON,18,4.22,1.11,18,3.5,1.04,19,3.53,1.17,55,3.75,1.14,18,2.83,1.15,19,3.26,0.93,20,3.35,1.31,57,3.16,1.15,19,1.37,0.96,19,1.26,0.73,18,1.11,0.32,56,1.25,0.72,2,,,1,,,0,,,3,,
107,Duck,animal/insect,LYN,LYN,18,2.39,1.09,18,1.89,0.96,19,1.63,0.76,55,1.96,0.98,18,2.33,1.14,19,2.21,0.63,20,2.3,0.8,57,2.28,0.86,19,2.42,1.22,20,2.3,0.92,18,2.94,0.87,57,2.54,1.04,9,,,11,,,12,,,32,,
108,eagle,animal/insect,LON,LON,18,1.67,0.77,18,1.61,0.92,19,1.26,0.56,55,1.51,0.77,18,2.89,0.83,19,3,1.15,20,3.65,1.39,57,3.19,1.19,19,2,1.11,20,1.65,1.04,18,2.61,1.24,57,2.07,1.18,4,,,4,,,10,,,18,,
109,Easter Egg,holiday stuff,LOM,LYM,18,2.67,1.28,18,2.22,1.26,19,2.42,1.17,55,2.44,1.23,18,2.72,0.83,19,2.21,0.92,20,2.25,0.72,57,2.39,0.84,19,4.89,0.32,20,4.85,0.37,18,5,0,57,4.91,0.29,19,2.89,1.56,20,2.3,1.42,18,2.33,1.46,57,2.51,1.48
110,egg,food,HYM,HYM,18,4,0.91,18,3.83,1.1,19,3.89,1.2,55,3.91,1.06,18,1.83,0.51,19,1.63,0.6,20,2,0.92,57,1.82,0.71,19,4.84,0.5,19,4.74,0.93,18,4.44,1.29,56,4.68,0.96,19,3.11,0.99,18,3.11,1.53,15,2.13,1.19,52,2.83,1.31
111,Elephant,animal/insect,LYN,LYN,18,1.39,0.85,18,1.22,0.43,19,1.05,0.23,55,1.22,0.57,18,2.17,0.99,19,2.26,0.81,20,2.55,0.94,57,2.33,0.91,19,1,0,20,1.15,0.67,18,1,0,57,1.05,0.4,1,,,1,,,0,,,2,,
112,envelopes,office supply,HOM,HOM,18,3.56,1.54,18,2.94,1.3,19,3.11,1.2,55,3.2,1.35,18,3.17,1.2,19,3.05,1.03,20,3.25,0.72,57,3.16,0.98,19,4.74,0.65,20,4.75,0.64,18,5,0,57,4.82,0.54,19,3,1.05,20,3.3,1.08,18,2.78,1.31,57,3.04,1.15
113,Etch-A-Sketch,toy,LOM,LYM,18,1.78,1.31,18,1.33,0.59,19,1.42,0.69,55,1.51,0.92,18,3.17,1.25,19,2.32,0.67,20,2.7,1.17,57,2.72,1.1,18,4.78,0.43,19,4.53,0.7,18,4.78,0.43,55,4.69,0.54,18,4.33,0.91,19,3.95,1.27,18,4.39,1.04,55,4.22,1.08
114,faxMachine,office supply,LON,HON,18,2.67,1.33,18,2.67,1.46,19,2.11,1.1,55,2.47,1.3,18,4.17,1.25,19,4.84,1.17,20,5.2,1.24,57,4.75,1.27,19,2.68,1.29,20,3,1.49,18,3.22,1.06,57,2.96,1.3,10,,,10,4,1.33,14,4.14,1.29,34,,
115,fence,household item,HYN,LYN,18,3.83,1.1,18,2.94,1.26,19,3.21,1.13,55,3.33,1.2,18,2.56,0.92,19,2.84,1.07,20,2.7,0.73,57,2.7,0.91,19,1.05,0.23,20,1.3,0.92,18,1.5,0.62,57,1.28,0.67,1,,,1,,,2,,,4,,
116,filing Cabinet,office supply,HON,HON,18,3.06,1.35,18,2.56,1.34,19,2.53,1.12,55,2.71,1.27,18,4,1.33,19,3.95,1.03,20,4.3,1.42,57,4.09,1.26,19,1.68,1.06,20,2.2,1.24,18,2.22,1.31,57,2.04,1.21,4,,,8,,,6,,,18,,
117,Fire,nature,LYN,HYN,18,2.56,1.25,17,2.41,1.23,19,2.21,1.27,54,2.39,1.23,17,2.53,1.12,19,2.26,0.93,20,2.3,1.03,56,2.36,1.02,19,1.26,0.81,20,1.2,0.89,17,1,0,56,1.16,0.71,2,,,1,,,1,,,4,,
118,fire Hydrant,,HON,HYN,18,3.33,1.33,18,2.56,1.04,19,2.95,1.35,55,2.95,1.27,18,3.06,0.87,19,2.89,0.81,20,3.35,1.14,57,3.11,0.96,19,1.11,0.32,20,1.55,1.23,18,1.11,0.32,57,1.26,0.79,2,,,1,,,1,,,4,,
119,fish,animal/insect,LYN,LYN,18,2.33,1.19,18,2.89,0.9,19,2.37,1.26,55,2.53,1.14,18,2.11,0.83,19,2,0.67,20,2.05,0.83,57,2.05,0.77,19,3.58,1.46,20,3.65,1.35,18,4,0.91,57,3.74,1.26,15,2.2,0.86,17,2.82,1.38,17,2.59,1.28,49,2.55,1.21
120,floor Tiles,household item,HON,HYN,18,3.67,1.41,18,3.17,1.79,19,4.05,1.31,55,3.64,1.53,18,2.78,1.52,19,2.89,1.63,20,2.9,1.71,57,2.86,1.6,19,1.11,0.46,20,1.05,0.22,18,1.17,0.71,57,1.11,0.49,1,,,0,,,1,,,2,,
121,flower,nature,HYM,HYN,18,3.28,1.27,18,2.78,1.35,19,3.21,1.13,55,3.09,1.25,18,2.06,1.06,19,2.05,0.78,20,1.9,0.72,57,2,0.85,19,4.68,0.82,20,4.5,1,18,4.83,0.38,57,4.67,0.79,19,1.58,1.07,18,2.17,1.29,18,1.72,0.83,55,1.82,1.09
122,fly,animal/insect,LYN,LYN,18,2.72,1.13,18,2.22,1.11,19,2.26,1.24,55,2.4,1.16,18,1.89,0.83,19,2.26,0.73,20,2.2,0.95,57,2.12,0.85,19,2.79,1.32,20,2.95,1.85,18,4.11,1.41,57,3.26,1.63,11,,,10,,,15,2.33,1.45,36,2.11,1.3
123,Football,recreation,HOM,LYM,18,2.78,1.44,18,1.94,1.11,19,1.84,0.9,55,2.18,1.22,18,2.78,1.4,19,2.95,1.03,20,2.95,1.32,57,2.89,1.23,19,4.74,0.56,20,4.75,0.55,18,4.78,0.55,57,4.75,0.54,19,2.95,1.35,20,2.15,1.18,18,2.5,0.86,57,2.53,1.18
124,forest,nature,HON,HYN,18,4.06,1.16,18,2.39,1.24,19,3.68,1.2,55,3.38,1.38,18,2.72,1.32,19,2.47,0.77,20,2.4,0.88,57,2.53,1,19,1,0,20,1,0,18,1,0,57,1,0,0,,,2,,,0,,,2,,
125,Fork,tools,HYM,HYM,18,4.83,0.71,18,4.83,0.51,19,5,0,55,4.89,0.5,18,1.94,0.64,19,1.63,0.68,19,1.74,0.65,56,1.77,0.66,19,4.89,0.46,20,5,0,18,5,0,57,4.96,0.26,19,2.11,1.37,20,1.75,1.37,18,1.39,0.7,57,1.75,1.21
126,fox,animal/insect,LYN,LON,18,1.56,0.86,18,1.44,0.7,19,1.05,0.23,55,1.35,0.67,18,2.5,0.99,19,2.47,0.77,20,2.75,0.97,57,2.58,0.91,19,1.47,0.84,20,1.65,0.93,18,1.89,1.08,57,1.67,0.95,2,,,4,,,4,,,10,,
127,frog,animal/insect,LYN,LYN,18,1.72,0.67,18,1.5,0.62,19,1.53,1.12,55,1.58,0.83,18,2.17,0.86,19,2.16,0.69,20,2.45,0.76,57,2.26,0.77,19,3.11,1.45,20,3.45,1.39,18,4.11,0.96,57,3.54,1.34,13,1.69,0.95,14,2.07,1.33,17,2.76,1.25,44,2.23,1.26
128,Frying Pan,tools,HYM,HYM,18,4.28,0.89,18,3.06,1.55,19,3.95,1.13,55,3.76,1.3,18,2.33,1.03,19,3.11,0.94,20,3.15,1.35,57,2.88,1.17,19,4.79,0.42,20,4.8,0.7,17,4.53,0.72,56,4.71,0.62,19,2.74,1.33,20,1.85,1.14,18,2.11,1.02,57,2.23,1.21
129,Garbage Can,household item,HYN,HON,18,4.06,1.11,18,3.72,1.45,19,3.42,1.46,55,3.73,1.35,18,2.44,1.1,19,2.63,1.07,20,2.45,0.83,57,2.51,0.98,19,3.58,1.12,20,3.45,1.39,18,3.78,0.88,57,3.6,1.15,16,2.25,0.93,14,3,1.18,16,2.31,0.95,46,2.5,1.05
130,Gas Station,,HON,HON,18,2.94,1.55,18,3.28,1.23,19,3.05,1.13,55,3.09,1.29,18,3.28,1.36,19,3.21,1.18,20,3.95,1.5,57,3.49,1.38,19,1,0,20,1.15,0.67,18,1,0,57,1.05,0.4,0,,,2,,,0,,,2,,
131,Gazebo,,LON,HON,18,2.56,1.04,18,1.61,0.92,19,1.47,0.7,55,1.87,1,18,4.5,1.5,19,4.47,1.02,20,4.95,1.36,57,4.65,1.3,19,1.11,0.46,20,1.05,0.22,18,1,0,57,1.05,0.29,2,,,0,,,1,,,3,,
132,Giraffe,animal/insect,LON,LON,18,1.44,0.78,18,1.22,0.55,19,1.05,0.23,55,1.24,0.58,18,2.72,1.23,19,2.58,0.84,20,2.45,1.1,57,2.58,1.05,19,1.05,0.23,20,1.25,0.91,18,1,0,57,1.11,0.56,0,,,1,,,0,,,1,,
133,Glasses,clothing,HYM,HYM,18,4.11,1.45,17,4.12,1.54,19,3.47,1.68,54,3.89,1.56,18,2.11,0.76,19,2.37,0.6,20,2.5,1.19,57,2.33,0.89,19,4.89,0.32,20,4.85,0.49,18,4.94,0.24,57,4.89,0.36,19,2.53,1.17,20,2.85,1.5,18,2.22,1.17,57,2.54,1.3
134,Glove,clothing,HYM,HYM,18,3.39,1.38,18,3.39,1.42,19,3.21,1.36,55,3.33,1.36,18,2.22,0.81,19,2.47,0.84,20,2.5,1.19,57,2.4,0.96,19,4.79,0.42,20,4.75,0.72,18,4.56,0.98,57,4.7,0.73,19,2.79,1.44,19,2.84,1.21,17,2.65,1.17,55,2.76,1.26
135,Goat,animal/insect,LYN,LON,18,1.39,0.85,18,1.28,0.57,19,1.05,0.23,55,1.24,0.61,18,2.39,1.09,19,3.11,1.05,20,2.95,1.28,57,2.82,1.17,19,1.21,0.42,20,1.2,0.52,18,1.61,1.04,57,1.33,0.72,0,,,2,,,3,,,5,,
136,gorilla,animal/insect,LON,LON,18,1.39,0.85,18,1.5,1.04,19,1.11,0.32,55,1.33,0.79,17,3,0.94,19,2.58,0.77,20,2.85,1.23,56,2.8,1,19,1.11,0.32,20,1.05,0.22,18,1.06,0.24,57,1.07,0.26,0,,,0,,,0,,,0,,
