"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","Onset","Duration"
"42","42: voren","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","2","2","1","18.87805032","0.429758952"
"43","43: tussen","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","1","2","1","19.5845034","0.201463149"
"44","44: zijn","3.1","1","1","2","1","1","2","2","1","1","2","2","2","1","1","2","1","19.78596654","0.191919751"
"46","46: schouders.","3.1","1","1","2","1","1","2","2","1","1","2","2","2","2","2","2","1","20.54422617","0.594598002"
"47","47: Hij","3.1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","mismatch","mismatch"
"48","48: sneed","3.1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","22.09115359","0.347339427"
"49","49: de","3.1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","22.43849301","0.04591945"
"50","50: zalm","3.1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","22.48441246","0.269629589"
"51","51: met","3.1","1","1","2","1","1","2","2","1","1","1","2","1","1","1","1","1","22.75404205","0.241371466"
"52","52: een","3.1","1","1","2","1","1","2","2","1","1","2","2","1","2","1","1","1","22.99541352","0.13187124"
"53","53: smal","3.1","2","1","2","1","1","2","2","2","2","2","2","1","2","1","1","1","23.12728476","0.479210667"
"54","54: in","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","1","1","1","23.60649543","0.12463605"
"55","55: het","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","1","1","1","23.73113148","0.162484206"
"56","56: midden","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","1","2","1","23.89361568","0.261387636"
"57","57: uitgesleten","3.1","2","2","2","1","1","2","2","2","2","2","2","2","2","1","2","1","24.15500332","0.932654334"
"58","58: mes","3.1","1","2","2","1","1","2","2","2","2","2","2","1","2","1","2","1","25.08765765","0.350410947"
"59","59: nam","3.1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","2","1","26.20189087","0.161306785"
"60","60: de","3.1","1","1","2","1","1","1","2","1","1","1","2","1","1","1","2","1","26.36319766","0.071822729"
"61","61: plakjes","3.1","1","1","2","1","1","1","2","1","2","1","2","1","1","1","2","1","26.49624632","0.354403957"
"62","62: tussen","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","2","2","1","26.85065028","0.314371617"
"63","63: duim","3.1","1","1","2","1","1","1","2","1","2","1","2","1","2","2","2","1","27.18280265","0.253145684"
