,word,qnLabel,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Onset,Duration,MN,SE
1792,100: handen,24.1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,41.21115397,0.376467388,1.333333333,0.092450033
1793,101: en,24.1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,41.58762135,0.103171821,1.333333333,0.092450033
1794,102: knie,24.1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,41.69079317,0.418175146,1.333333333,0.092450033
1795,103: en,24.1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,42.10896832,0.120732982,1.444444444,0.097450891
1796,104: sleur,24.1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,42.2297013,0.409198607,1.925925926,0.051361129
1797,105: mijn,24.1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,42.63889991,0.196465488,1.888888889,0.061633355
1798,106: oude,24.1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,42.8353654,0.285368866,1.925925926,0.051361129
1799,107: lijf,24.1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,43.12073426,0.334759631,1.925925926,0.051361129
1800,108: naar,24.1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,43.45549389,0.138294143,1.555555556,0.097450891
1801,109: de,24.1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,43.59378804,0.060366491,1.555555556,0.097450891
1802,110: woonkamer.,24.1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,43.65415453,0.640699526,1.555555556,0.097450891
1803,111: Daar,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,45.60167151,0.143782005,1.148148148,0.069669625
1804,112: komt,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,45.74545351,0.208538787,1.148148148,0.069669625
1805,113: het,24.1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,45.9539923,0.106464538,1.148148148,0.069669625
