"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"36","36: steile","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,2,"17.12918634","0.508176096",1.74074074074074
"37","37: rossige","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,"17.63736244","0.446712032",1.74074074074074
"38","38: kuif","3.1",2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,"18.17534677","0.384150396",1.74074074074074
"39","39: hing","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,"18.89261044","0.164635884",1.40740740740741
"40","40: wat","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,"19.05724633","0.158050449",1.40740740740741
"41","41: naar","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,"19.21529677","0.111305749",1.40740740740741
"42","42: voren","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,"19.32660252","0.354515937",1.40740740740741
"43","43: tussen","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,"19.75794854","0.214558748",1.40740740740741
"44","44: zijn","3.1",1,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,"19.97250729","0.17561161",1.40740740740741
"45","45: opgetrokken","3.1",2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,"20.24031499","0.563054724",1.55555555555556
"46","46: schouders.","3.1",1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,1,"20.80336972","0.627811505",1.51851851851852
"47","47: Hij","3.1",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,"22.40762933","0.082317942",1.14814814814815
"48","48: sneed","3.1",1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,"22.48994728","0.429150871",1.14814814814815
