"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"41","41: naar","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,"18.7414694","0.136580927",2.18518518518519
"42","42: voren","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,2,3,2,4,3,4,3,1,2,2,3,4,"18.87805032","0.429758952",2.18518518518519
"43","43: tussen","3.1",1,1,2,1,3,2,1,1,1,2,2,3,2,3,1,3,3,2,4,3,4,3,1,2,2,3,5,"19.5845034","0.201463149",2.25925925925926
"44","44: zijn","3.1",1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,2,3,2,4,3,4,3,1,2,2,3,5,"19.78596654","0.191919751",2.2962962962963
"46","46: schouders.","3.1",1,2,2,1,3,2,1,1,1,2,2,3,2,4,1,4,3,2,4,3,4,3,2,3,2,3,5,"20.54422617","0.594598002",2.44444444444444
"47","47: Hij","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,3,"mismatch","mismatch",2.51851851851852
"48","48: sneed","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,4,"22.09115359","0.347339427",2.66666666666667
"49","49: de","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,3,4,2,4,4,4,4,1,2,2,4,3,"22.43849301","0.04591945",2.62962962962963
"50","50: zalm","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,2,1,1,4,2,4,4,4,4,1,2,2,4,3,"22.48441246","0.269629589",2.55555555555556
"51","51: met","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,2,4,2,4,4,4,4,1,2,2,4,3,"22.75404205","0.241371466",2.48148148148148
"52","52: een","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,2,1,2,4,2,4,4,5,4,1,2,2,4,3,"22.99541352","0.13187124",2.51851851851852
"53","53: smal","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,4,1,4,4,2,4,4,5,4,1,2,2,4,4,"23.12728476","0.479210667",2.7037037037037
"54","54: in","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,4,1,1,4,2,4,4,5,4,1,2,2,4,4,"23.60649543","0.12463605",2.59259259259259
"55","55: het","3.1",1,4,1,3,2,2,1,1,2,3,2,3,3,4,1,1,4,2,4,4,5,4,1,2,2,4,4,"23.73113148","0.162484206",2.59259259259259
"56","56: midden","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,2,4,2,4,4,5,4,1,2,2,4,4,"23.89361568","0.261387636",2.74074074074074
"57","57: uitgesleten","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,3,4,2,4,4,5,4,1,2,2,4,4,"24.15500332","0.932654334",2.77777777777778
"58","58: mes","3.1",1,7,1,3,2,2,1,1,2,3,2,3,3,4,1,2,4,2,4,4,5,4,1,2,2,4,4,"25.08765765","0.350410947",2.74074074074074
"59","59: nam","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,1,2,2,4,4,3,4,1,2,2,4,4,"26.20189087","0.161306785",2.48148148148148
"60","60: de","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,2,2,2,4,4,3,4,1,2,2,4,4,"26.36319766","0.071822729",2.51851851851852
"61","61: plakjes","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"26.49624632","0.354403957",2.55555555555556
"62","62: tussen","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,2,2,2,4,4,3,4,1,2,2,4,4,"26.85065028","0.314371617",2.51851851851852
"63","63: duim","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"27.18280265","0.253145684",2.55555555555556
"64","64: en","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"27.43594833","0.143645458",2.55555555555556
"65","65: wijsvinger","3.1",4,3,1,2,2,2,1,1,2,3,2,3,3,3,2,3,2,2,4,4,3,4,1,2,2,4,4,"27.57959379","0.618146437",2.55555555555556
"66","66: en","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,2,2,2,4,4,3,4,1,2,2,4,5,"28.7042873","0.104790539",2.55555555555556
"68","68: ze","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,3,2,3,4,4,3,4,1,2,2,4,5,"29.0504493","0.140113192",2.62962962962963
"69","69: behoedzaam","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,1,3,2,3,4,4,3,4,2,2,2,4,5,"29.1905625","0.567517301",2.66666666666667
"70","70: op","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,"29.7580798","0.163661628",2.66666666666667
"71","71: elkaar.","3.1",4,3,1,3,2,2,1,1,2,3,2,3,3,3,2,3,2,3,4,4,3,4,1,2,2,4,5,"29.92174143","0.412967883",2.66666666666667
"72","72: Zijn","3.1",6,5,2,2,4,2,1,1,2,4,3,3,5,2,1,1,2,3,4,5,2,5,1,2,2,5,3,"mismatch","mismatch",2.88888888888889
