"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Onset","Duration"
"412","36: hier","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","100.2164607","0.094193743"
"413","37: even","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","100.3106545","0.182500377"
"414","38: wachten","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","100.4931549","0.387371767"
"415","39: van","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","100.8805266","0.136580927"
"416","40: je","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","101.0171076","0.14482288"
"417","41: vader.'","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","101.1619304","0.422694421"
"418","42: De","7.1","2","1","1","1","1","1",NA,"1","1","2","1","2","2","102.9068012","0.057693667"
"419","43: meubels","7.1","2","1","1","1","1","1",NA,"1","1","2","1","2","2","102.9644949","0.390904033"
"420","44: in","7.1","2","1","1","1","1","1",NA,"1","1","2","1","2","2","103.3553989","0.081242103"
"421","45: het","7.1","2","1","1","1","1","1",NA,"1","1","2","1","2","2","103.436641","0.068290464"
"422","46: vertrek","7.1","2","1","1","1","1","1",NA,"1","1","2","1","2","2","103.5049315","0.478033245"
"423","47: stonden","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","103.9829647","0.31672646"
"424","48: zo","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","104.2996912","0.252684939"
"425","49: dicht","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","104.5523761","0.231952092"
"426","50: op","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","104.7843282","0.110677648"
"427","51: elkaar","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","104.8950059","0.400323407"
"428","52: dat","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","105.6024484","0.074177572"
"429","53: je","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","105.676626","0.134226084"
"430","54: nauwelijks","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","105.810852","0.488630041"
"431","55: kon","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","106.2994821","0.18485522"
"432","56: lopen","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","106.4843373","0.326145835"
"433","57: zonder","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","106.8104831","0.284936072"
"434","58: iets","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","107.0954192","0.16173315"
"435","59: te","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","107.4537818","0.123629287"
"436","60: raken.","7.1","2","1","1","1","1","1",NA,"1","1","1","1","2","2","107.5774111","0.418274595"
"438","62: schoof","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","108.9190232","0.356758801"
"439","63: de","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","109.275782","0.101258274"
"440","64: stoel","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","109.3770403","0.315549039"
"441","65: waarop","7.1","1","1","1","1","1","1",NA,"1","2","2","1","2","1","109.6925893","0.233129514"
"443","67: met","7.1","1","1","1","1","1","1",NA,"1","2","2","1","2","1","110.029332","0.181322955"
"445","69: onderarmen","7.1","1","1","1","1","1","1",NA,"1","2","2","1","2","1","110.353123","0.465798282"
"446","70: leunde","7.1","1","1","1","1","1","1",NA,"1","2","2","1","2","1","110.8189212","0.449775122"
"447","71: zo","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","111.564775","0.183677799"
"448","72: ver","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","111.7484528","0.221355296"
"449","73: mogelijk","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","111.9698081","0.525130116"
"450","74: onder","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","112.5655835","0.26374248"
"451","75: tafel","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","112.8752455","0.536153503"
"452","76: maar","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","113.8465672","0.196629438"
"453","77: wanneer","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","114.0431966","0.235484357"
"455","79: achteruit","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","114.3775844","0.473323558"
"456","80: ging","7.1","1","1","1","1","1","1",NA,"1","2","1","1","2","1","114.850908","0.206048812"
"457","81: voelde","7.1","2","1","1","1","1","1",NA,"1","2","2","1","2","1","115.0569568","0.344984583"
"459","83: de","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","115.5444094","0.067812416"
"460","84: sleutel","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","115.6122218","0.413275047"
"461","85: van","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","116.0254969","0.11185507"
"462","86: de","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","116.137352","0.089484056"
"463","87: buffetla","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","116.226836","0.562807614"
"464","88: in","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","116.7896436","0.109500226"
"466","90: rug","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","117.070143","0.191919751"
"467","91: steken.","7.1","2","1","1","1","1","1",NA,"1","2","2","2","2","1","117.2620628","0.51453332"
"468","92: De","7.1","1","1","1","1","1","2",NA,"1","2","2","2","2","1","118.7404096","0.071822729"
"469","93: ruimte","7.1","1","1","1","1","1","2",NA,"1","2","2","2","2","1","118.8122324","0.393258876"
"470","94: werd","7.1","1","1","1","1","1","2",NA,"1","2","2","2","2","1","119.2054912","0.160129363"
"471","95: nog","7.1","1","1","1","1","1","2",NA,"1","2","2","2","2","1","119.3656206","0.223710139"
"472","96: meer","7.1","1","1","1","1","1","2",NA,"1","2","2","2","2","1","119.6434921","0.103613117"
"473","97: verkleind","7.1","1","1","1","1","1","2",NA,"1","2","2","2","2","1","119.7471053","0.575759253"
"474","98: door","7.1","1","1","1","1","1","2",NA,"1","2","2","2","2","1","120.3228645","0.147296925"
"475","99: een","7.1","1","1","1","1","1","2",NA,"2","2","2","2","2","2","120.4701614","0.08595179"
"476","100: enorme","7.1","2","1","1","1","1","2",NA,"2","2","2","2","2","2","120.5561132","0.556920505"
"477","101: lamp","7.1","2","1","1","1","1","2",NA,"2","2","2","2","2","2","121.1130337","0.475678401"
"478","102: met","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","121.5887121","0.196458554"
"479","103: franje","7.1","2","2","1","1","2","2",NA,"2","2","2","2","2","2","121.7851707","0.472146136"
"480","104: die","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","122.2573168","0.122451866"
"481","105: als","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","122.3797687","0.169548737"
"482","106: een","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","122.5493174","0.109500226"
"483","107: parasol","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","122.7501787","0.545146287"
"484","108: boven","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","123.295325","0.320258726"
"486","110: hoofden","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","123.8110358","0.347185845"
"487","111: hing.","7.1","2","2","1","1","1","2",NA,"2","2","2","2","2","2","124.1582216","0.253145684"
"488","112: Op","7.1","1","1","1","2","1","1",NA,"1","2","1","2","2","1","125.6025595","0.157774519"
"489","113: de","7.1","1","1","1","2","1","1",NA,"1","2","1","2","2","1","125.760334","0.056516246"
"490","114: schoorsteen","7.1","1","1","1","2","1","1",NA,"1","2","1","2","2","1","125.8168503","0.677017527"
"491","115: stond","7.1","1","1","1","2","1","1",NA,"1","2","1","2","2","1","126.4938678","0.282581229"
"492","116: een","7.1","1","1","1","2","1","2",NA,"2","2","1","2","2","2","126.776449","0.108322804"
"493","117: zwartmetalen","7.1","2","1","1","2","1","2",NA,"2","2","2","2","2","2","126.8847718","0.775459986"
"494","118: pendule","7.1","2","1","1","2","1","2",NA,"2","2","2","2","2","2","127.6602318","0.55279099"
"495","119: bekroond","7.1","2","1","1","2","1","2",NA,"1","2","2","2","2","2","128.7245697","0.521597851"
"496","120: met","7.1","2","1","1","2","1","2",NA,"1","2","2","2","2","2","129.2461675","0.156597097"
"497","121: een","7.1","2","1","1","2","1","2",NA,"1","2","2","2","2","2","129.4027646","0.128338975"
"498","122: naakt","7.1","2","1","1","2","1","2",NA,"1","2","2","2","2","2","129.5311036","0.427404108"
"499","123: mannetje.","7.1","2","1","1","2","1","2",NA,"1","2","2","2","2","2","129.9585077","0.534395684"
"501","125: hield","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","132.2192423","0.37559755"
"502","126: een","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","132.5948399","0.083596947"
"503","127: soort","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","132.6784368","0.284936072"
"504","128: knots","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","133.089357","0.393224721"
"505","129: in","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","133.4825818","0.136580927"
"506","130: zijn","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","133.6191627","0.183677799"
"507","131: ene","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","133.8028405","0.306129664"
"508","132: hand","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","134.1089702","0.42858153"
"509","133: en","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","135.3616955","0.169548737"
"510","134: wees","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","135.5312442","0.302597399"
"511","135: met","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","135.8338416","0.168371315"
"512","136: de","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","136.0022129","0.068290464"
"513","137: andere","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","136.0705034","0.372935318"
"514","138: omlaag","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","136.4434387","0.548678552"
"515","139: naar","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","136.9921173","0.115950205"
"516","140: de","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","137.1080675","0.096548586"
"517","141: wijzerplaat.","7.1","1","1","1","2","1","1",NA,"1","1","1","2","2","1","137.2046161","0.790050018"
"518","142: Het","7.1","2","1","2","2","1","1",NA,"1","1","2","2","2","2","138.6919555","0.116564757"
"519","143: uurwerk","7.1","2","1","2","2","1","1",NA,"1","1","2","2","2","2","138.8085202","0.468613871"
"520","144: tikte","7.1","2","1","2","2","1","1",NA,"1","1","1","2","2","1","139.3713278","0.244903731"
"521","145: hard.","7.1","2","1","2","2","1","1",NA,"1","1","1","2","2","1","139.6162316","0.421516999"
"522","146: En","7.1","1","1","1","1","1","1",NA,"1","1","1","2","2","1","140.7415055","0.080064681"
"524","148: zeiden","7.1","1","1","1","1","1","1",NA,"1","1","1","2","2","1","140.9181188","0.312016773"
"525","149: geen","7.1","1","1","1","1","1","1",NA,"1","1","1","2","2","1","141.2301355","0.176613268"
"526","150: woord","7.1","1","1","1","1","1","1",NA,"1","1","1","2","2","1","141.4067488","0.270807011"
"527","151: tegen","7.1","1","1","1","1","1","1",NA,"1","1","1","2","2","1","141.6775558","0.233129514"
"528","152: elkaar.","7.1","1","1","1","1","1","1",NA,"1","1","1","2","2","1","141.9106853","0.369710441"
"529","153: Na","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","143.4673222","0.113032491"
"530","154: een","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","143.5803547","0.103613117"
"531","155: minuut","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","143.6839678","0.303774821"
"532","156: of","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","143.9877426","0.14482288"
"533","157: twintig","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","144.2138076","0.433291217"
"534","158: kwam","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","144.6871312","0.202789331"
"536","160: vader","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","145.3973893","0.333210365"
"537","161: binnen.","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","145.7305996","0.347475706"
"565","1: 'Ziezo","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","147.0046548","0.614614172"
"566","2: zei","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","147.9336406","0.201339125"
"567","3: hij.","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","148.1349798","0.268452167"
"569","5: sloot","9.1","1","1","1","1","1","1","1","1","1","2","1","1","1","148.6123984","0.343807161"
"570","6: de","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","148.9562056","0.07888726"
"571","7: deur","9.1","1","1","1","1","1","1","1","1","1","2","1","1","1","149.0350929","0.242548888"
"572","8: met","9.1","1","1","1","1","1","1","1","1","1","2","1","1","1","149.2776418","0.169548737"
"573","9: een","9.1","1","1","1","1","1","1","1","1","1","2","1","1","1","149.4471905","0.087129212"
"574","10: haak","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","149.5343197","0.333193288"
"575","11: af","9.1","1","1","1","1","1","1","1","1","1","2","1","1","1","149.9369809","0.231952092"
"576","12: en","9.1","1","1","1","1","1","1","1","1","2","1","1","1","1","150.168933","0.161306785"
"577","13: verwisselde","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","150.3302398","0.425902445"
"578","14: zijn","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","150.7561422","0.17779069"
"579","15: witte","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","150.9339329","0.304952242"
"580","16: jas","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","151.2388851","0.317903882"
"581","17: voor","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","151.556789","0.148047756"
"582","18: een","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","151.7048368","0.110677648"
"583","19: bruin","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","151.8155144","0.269629589"
"584","20: colbert","9.1","1","1","1","1","1","1","1","2","2","1","1","1","1","152.085144","0.464330549"
"585","21: dat","9.1","1","1","2","1","1","2","1","1","2","1","1","1","1","152.9463851","0.124806709"
"586","22: op","9.1","1","1","2","1","1","2","1","1","2","1","1","1","1","153.0711918","0.081242103"
"587","23: een","9.1","1","1","2","1","1","2","1","1","2","1","1","1","2","153.1524339","0.154242254"
"588","24: knaapje","9.1","2","1","2","1","2","2","1","1","2","2","1","1","2","153.3066762","0.488630041"
"589","25: in","9.1","2","1","2","1","1","2","1","1","2","2","1","1","1","153.7953062","0.081242103"
"590","26: de","9.1","2","1","2","1","1","2","1","1","2","2","1","1","1","153.8765483","0.067113042"
"591","27: kast","9.1","2","1","2","1","1","2","1","1","2","2","1","1","1","153.9436614","0.3296781"
"592","28: hing.","9.1","1","1","2","1","1","2","1","1","2","1","1","1","1","154.2733395","0.230023839"
"593","29: 'Nu","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","155.5990481","0.114209913"
"594","30: kunnen","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","155.713258","0.181322955"
"595","31: we","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","155.894581","0.123629287"
"596","32: rustig","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","156.0182103","0.30966193"
"597","33: onze","9.1","1","1","1","1","1","1","1","2","1","1","1","1","1","156.3278722","0.201339125"
"598","34: gang","9.1","1","1","1","1","1","1","1","2","1","1","1","1","1","156.5292113","0.279048963"
"599","35: gaan.'","9.1","1","1","1","1","1","1","1","2","1","1","1","1","1","156.8082603","0.366178175"
"600","36: Hij","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","158.1851953","0.093016321"
"601","37: schoof","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","158.2782116","0.365000754"
"602","38: een","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","158.6432124","0.088306634"
"603","39: paar","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","158.731519","0.211935921"
"604","40: stoelen","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","158.9434549","0.336742631"
"605","41: opzij","9.1","1","1","1","1","1","1","1","1","1","1","1","1","1","159.2801975","0.559275348"
"606","42: de","9.1","2","1","1","1","1","1","1","1","2","2","1","1","1","160.2151728","0.051806559"
"607","43: enige","9.1","2","1","1","1","1","1","1","1","2","2","1","1","1","160.2669793","0.443888013"
"608","44: manier","9.1","2","1","1","1","1","1","1","1","2","2","1","1","1","160.7108674","0.406210516"
"609","45: om","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","161.1170779","0.161306785"
"610","46: bij","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","161.2783847","0.147177723"
"611","47: een","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","161.4255624","0.070645307"
"612","48: laag","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","161.4962077","0.308484508"
"613","49: tafeltje","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","161.8617713","0.461685619"
"614","50: te","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","162.3234569","0.075354994"
"615","51: komen","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","162.3988119","0.341452318"
"616","52: in","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","162.7402642","0.122451866"
"617","53: een","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","162.8627161","0.103613117"
"618","54: hoek","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","162.9663292","0.23077467"
"619","55: van","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","163.1971039","0.149532567"
"620","56: de","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","163.3466365","0.081225026"
"621","57: kamer.","9.1","2","1","1","1","1","1","1","1","2","1","1","1","1","163.4278615","0.434468639"
"622","58: Op","9.1","1","1","1","2","1","1","1","1","2","1","2","1","1","165.0383695","0.122451866"
"623","59: het","9.1","1","1","1","2","1","1","1","1","2","1","2","1","1","165.1608213","0.063580776"
"624","60: tafeltje","9.1","1","1","1","2","1","1","1","1","2","1","2","1","1","165.2762087","0.506291368"
"625","61: stond","9.1","1","1","1","2","1","1","1","1","2","1","2","1","1","165.7825","0.249613419"
"626","62: een","9.1","1","1","1","2","1","1","1","1","2","1","2","1","2","166.0321134","0.110677648"
"627","63: toestel","9.1","1","1","1","2","1","1","1","1","2","1","2","1","2","166.1981299","0.370887862"
"628","64: met","9.1","1","2","1","2","1","2","1","1","2","1","2","1","2","166.5690178","0.147177723"
"629","65: een","9.1","1","2","1","2","1","2","1","1","2","1","2","1","2","166.7161955","0.096070539"
"630","66: frontplaat","9.1","1","2","1","2","1","2","1","2","2","2","2","1","2","166.812266","0.755904786"
"631","67: van","9.1","1","2","1","2","1","2","1","2","2","2","2","1","2","167.5681708","0.195452016"
"632","68: zwart","9.1","2","2","1","2","2","2","1","2","2","2","2","1","2","167.7636228","0.355581379"
"633","69: eboniet.","9.1","1","2","1","2","2","2","1","2","2","2","2","1","2","168.1679051","0.579291519"
"634","70: Er","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","169.4834774","0.064758198"
"635","71: staken","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","169.5482356","0.34262974"
"636","72: spoelen","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","169.8908654","0.421516999"
"637","73: uit","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","170.3123824","0.290823181"
"638","74: en","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","170.6032056","0.117742179"
"639","75: de","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","170.7209477","0.068290464"
"640","76: twee","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","170.852819","0.207226234"
"641","77: knoppen","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","171.1007769","0.26374248"
"642","78: eronder","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","171.3645194","0.459194496"
"643","79: hadden","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","171.8237139","0.255500527"
"644","80: een","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","172.0792144","0.150709989"
"645","81: witte","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","172.2299244","0.206048812"
"646","82: schaalverdeling.","9.1","2","1","1","2","1","2","1","1","2","2","2","1","2","172.4359732","0.862589424"
"647","83: Meneer","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","174.341997","0.259032793"
"648","84: Kuisters","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","174.6010298","0.473323558"
"650","86: een","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","175.5052897","0.133048662"
"651","87: hefboom","9.1","1","2","1","2","2","1","1","1","2","1","1","1","1","175.6383384","0.470354387"
"652","88: aan","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","176.1086928","0.26374248"
"653","89: de","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","176.3724352","0.063580776"
"654","90: zijkant","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","176.436016","0.454484809"
"655","91: van","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","176.8905008","0.097726008"
"656","92: het","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","176.9882268","0.103613117"
"657","93: apparaat","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","177.09184","0.446805951"
"658","94: omlaag","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","177.5386459","0.572226988"
"659","95: draaide","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","178.6180004","0.36264591"
"660","96: aan","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","178.9806463","0.135403505"
"661","97: de","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","179.1160498","0.06593562"
"662","98: knoppen","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","179.2373242","0.389726611"
"663","99: zette","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","179.9814548","0.255039782"
"664","100: de","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","180.2364946","0.087129212"
"665","101: spoelen","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","180.3236238","0.337920052"
"666","102: in","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","180.6615438","0.141290614"
"667","103: een","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","180.8028345","0.074177572"
"668","104: bepaalde","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","180.877012","0.382781507"
"669","105: stand","9.1","1","1","1","2","1","1","1","1","2","1","1","1","1","181.2597935","0.410920203"
"670","106: en","9.1","1","1","1","2","1","1","1","1","1","1","1","1","1","181.6707137","0.128338975"
"671","107: vroeg","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","181.7990527","0.262565058"
"672","108: aan","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","182.0616178","0.140113192"
"673","109: zijn","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","182.201731","0.193097173"
"674","110: dochter","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","182.3948281","0.333329792"
"675","111: of","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","182.7281579","0.124806709"
"676","112: er","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","182.8529646","0.091838899"
"677","113: een","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","182.9448035","0.08595179"
"678","114: nieuwe","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","183.0307553","0.237839201"
"679","115: stop","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","183.2685945","0.297887712"
"680","116: in","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","183.5664822","0.105797076"
"681","117: de","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","183.6722793","0.067113042"
"682","118: schakelkast","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","183.7393924","0.734711194"
"683","119: zat.","9.1","1","1","1","2","1","1","1","1","1","2","1","1","1","184.4741036","0.344831001"
"754","2: knikte.","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","186.440483","0.41562989"
"755","3: 'Mooi'","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","187.9891848","0.353226536"
"756","4: zei","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","188.5343311","0.222532717"
"757","5: hij","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","188.7568638","0.295532868"
"758","6: 'dan","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","189.5850006","0.181322955"
"759","7: kunnen","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","189.7663236","0.196629438"
"760","8: we","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","189.962953","0.07888726"
"761","9: beginnen.'","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","190.0418403","0.442710591"
"762","10: Hij","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","191.3880256","0.13187124"
"763","11: keek","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","191.5198969","0.191919751"
"764","12: op","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","191.7118166","0.081242103"
"765","13: zijn","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","191.7930587","0.142468036"
"766","14: horloge.","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","191.9355267","0.587533471"
"768","16: 't","11.1","1","1","1","1","1","2","1","1","1","1","1","1","1","193.3411804","0.028258123"
"769","17: Is","11.1","1","1","1","1","1","2","1","1","1","1","1","1","1","193.3694385","0.113032491"
"770","18: net","11.1","1","1","1","1","1","2","1","1","1","1","1","1","1","193.482471","0.221355296"
"771","19: de","11.1","1","1","1","1","1","2","1","1","1","1","1","1","1","193.7038263","0.035322654"
"773","21: tijd.","11.1","1","1","1","1","1","2","1","1","1","1","1","1","1","194.0429238","0.389726611"
"774","22: Kom","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","194.9520128","0.114209913"
"775","23: maar","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","195.0662227","0.080064681"
"776","24: eens","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","195.1462874","0.135403505"
"777","25: hier.'","11.1","1","1","1","1","1","1","1","1","1","1","1","1","1","195.2816909","0.327323256"
"778","26: Hij","11.1","2","1","1","1","1","1","1","2","2","2","1","1","1","196.4742315","0.100080852"
"779","27: wenkte","11.1","2","1","1","1","1","1","1","2","2","2","1","1","1","196.5743123","0.323790991"
"781","29: trok","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","197.9262484","0.202516547"
"782","30: een","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","198.128765","0.060048511"
"783","31: stoel","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","198.1888135","0.307307086"
"784","32: dichter","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","198.4961206","0.280226385"
"785","33: bij","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","198.776347","0.311419299"
"786","34: het","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","199.0877663","0.083596947"
"787","35: tafeltje","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","199.1713632","0.486275197"
"788","36: en","11.1","2","1","1","1","1","1","1","1","2","1","1","1","1","199.6576384","0.169548737"
"789","37: beduidde","11.1","2","1","1","1","1","2","1","2","2","2","1","1","1","199.8271872","0.399845359"
