"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"1728","36: buitendeur","24.1",1,2,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"16.458114","0.490614935",2.22222222222222
"1729","37: die","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"16.94872893","0.097683958",2.2962962962963
"1730","38: drie","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"17.04641289","0.276588285",2.2962962962963
"1731","39: verdiepingen","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"17.32300118","0.409394565",2.2962962962963
"1732","40: lager","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,1,1,2,4,2,2,4,2,2,1,3,2,2,4,"17.73239574","0.393289518",2.2962962962963
"1733","41: in","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,2,1,2,4,2,2,4,2,2,1,3,2,2,4,"18.12568526","0.115245119",2.33333333333333
"1734","42: het","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,2,1,2,4,2,2,4,2,2,1,3,2,2,4,"18.24093038","0.071342216",2.33333333333333
"1735","43: slot","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,2,1,2,4,2,2,4,2,2,1,3,2,2,4,"18.31227259","0.307320317",2.33333333333333
"1736","44: valt.","24.1",1,4,2,2,2,4,1,2,1,1,5,4,1,2,1,2,4,2,2,4,2,2,1,3,2,2,4,"18.61959291","0.343170696",2.33333333333333
"1737","45: Mijn","24.1",3,6,1,3,5,2,1,2,1,1,3,5,1,1,4,3,3,5,4,4,3,5,4,2,3,6,3,"20.23116602","0.109757256",3.11111111111111
"1738","46: oudevrouwenhanden","24.1",3,6,1,4,5,2,1,2,1,4,3,5,1,1,4,3,3,5,4,4,3,5,4,2,3,6,5,"20.34092328","0.971351716",3.33333333333333
"1739","47: graaien","24.1",3,6,1,3,5,2,1,2,1,1,3,5,1,1,1,3,3,5,4,4,2,5,1,2,3,6,4,"21.31227499","0.509273668",2.88888888888889
"1740","48: boven","24.1",3,4,1,3,5,2,1,2,1,1,3,5,1,1,1,3,3,4,4,4,2,5,1,2,3,6,3,"21.82154866","0.307309342",2.74074074074074
"1741","49: het","24.1",3,4,1,3,5,2,1,2,1,1,3,5,1,1,1,3,3,4,4,4,2,5,1,2,3,6,3,"22.128858","0.100976676",2.74074074074074
"1742","50: aanrecht.","24.1",3,4,1,3,5,2,1,2,1,1,3,5,1,1,1,3,3,4,4,4,2,5,1,2,3,6,3,"22.22983468","0.626713932",2.74074074074074
"1743","51: Het","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,1,1,4,3,3,2,5,2,5,1,2,3,6,4,"23.71373083","0.100976676",3
"1744","52: lege","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,1,1,4,3,3,2,5,2,5,1,2,3,6,4,"23.81470751","0.316100898",3
"1745","53: blik","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,1,1,4,3,3,2,5,2,5,1,2,3,6,4,"24.13080841","0.279881003",3
"1746","54: valt","24.1",3,4,1,4,5,2,1,2,1,2,5,5,4,1,1,4,3,3,2,5,2,5,1,2,3,6,5,"24.41068941","0.298539737",3.03703703703704
